序号,书名,链接,作者,评分,评价人数,简介
44,万历十五年,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,9.0,206126,见微知著，历史观的颠覆,https://book.douban.com/subject/1041482/
45,艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中 / 广西美术出版社 / 2008-04 / 280.00,9.5,27141,从最早的洞窟绘画到当今的实验艺术,https://book.douban.com/subject/3162991/
46,秋园,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,9.0,119912,,https://book.douban.com/subject/34998019/
47,厌女,上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00,9.1,86052,有多少人会经历顿悟，就有更少的人甘愿自我放逐,https://book.douban.com/subject/25836270/
48,置身事内,兰小欢 / 上海人民出版社 / 2021-8 / 65.00元,9.1,87158,侠之大者，为国为民,https://book.douban.com/subject/35546622/
49,追风筝的人,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9,803263,为你，千千万万遍,https://book.douban.com/subject/1770782/
50,树上的男爵,[意大利]伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元,9.1,63410,是不是真的只有先与人疏离，才能最终与他们在一起？,https://book.douban.com/subject/6789605/
51,寻路中国,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9.0,58525,《纽约客》驻北京记者驾车漫游中国大陆的经历,https://book.douban.com/subject/5414391/
52,刀锋,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9.0,94740,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://book.douban.com/subject/2035162/
53,格林童话全集,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,9.1,97088,一本有教育意义的书,https://book.douban.com/subject/1043008/
54,中国少年儿童百科全书（全四册）,林崇德 主编 / 浙江教育出版社 / 1991-4 / 168.00元,9.4,19400,童谣杀人案,https://book.douban.com/subject/1028409/
55,西游记（全二册）,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,9.1,92515,神魔皆有人情，精魅亦通世故,https://book.douban.com/subject/1029553/
56,太白金星有点烦,马伯庸 / 湖南文艺出版社 / 2023-6 / 45.00,9.0,107349,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,https://book.douban.com/subject/36328704/
57,可能性的艺术,刘瑜 / 广西师范大学出版社 / 2022-4 / 82.00元,9.2,43585,数学好是一种极致的浪漫,https://book.douban.com/subject/35819419/
58,史记（全十册）,司马迁 / （索隐）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,9.6,25601,史家之绝唱，无韵之离骚,https://book.douban.com/subject/1077847/
59,黄金时代,王小波 / 花城出版社 / 1999-3 / 19.00元,8.9,169158,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,https://book.douban.com/subject/1089243/
60,台北人,白先勇 / 广西师范大学出版社 / 2010-10 / 38.00元,9.0,76471,白先勇短篇小说集,https://book.douban.com/subject/5337248/
61,傲慢与偏见,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,8.9,235870,所有现代言情小说的母体,https://book.douban.com/subject/1083428/
62,悲惨世界（上中下）,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,9.1,64739,现实主义与浪漫主义的至高杰作,https://book.douban.com/subject/1205054/
63,诗经,孔丘 编订 / 北京出版社 / 2006-7 / 19.90元,9.5,29449,思无邪,https://book.douban.com/subject/1883245/
64,孽子,白先勇 / 广西师范大学出版社 / 2010.10 / 46.00元,9.2,50251,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,https://book.douban.com/subject/5337254/
65,刘擎西方现代思想讲义,刘擎 / 新星出版社 / 2021-1 / 79.00元,9.2,38881,,https://book.douban.com/subject/35313227/
66,始于极限,[日] 上野千鹤子 / 曹逸冰 / 新星出版社 / 2022-9-20 / 59,9.0,75983,,https://book.douban.com/subject/35966120/
67,永恒的终结,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-9 / 32.00元,9.1,49542,关于时间旅行的终极奥秘和恢宏构想,https://book.douban.com/subject/25829693/
68,神雕侠侣,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9,102675,至情至性，情大于武,https://book.douban.com/subject/1255624/
69,美丽新世界,【英】奥尔德斯·赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元,9.2,61190,窥见美国社会的一扇窗,https://book.douban.com/subject/27002046/
