排名,书名,简介,作者,评分,评分人数,链接
73,诗经,思无邪,孔丘 编订 / 北京出版社 / 2006-7 / 19.90元,9.5,29561人评价,https://book.douban.com/subject/1883245/
74,神雕侠侣,至情至性，情大于武,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9,102861人评价,https://book.douban.com/subject/1255624/
75,刘擎西方现代思想讲义,无简介,刘擎 / 新星出版社 / 2021-1 / 79.00元,9.2,39220人评价,https://book.douban.com/subject/35313227/
76,孽子,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,白先勇 / 广西师范大学出版社 / 2010.10 / 46.00元,9.1,50615人评价,https://book.douban.com/subject/5337254/
77,四世同堂,北平沦陷时代广大平民的悲惨遭遇,老舍 / 北京十月文艺出版社 / 2008-07 / 36.00元,9.4,42537人评价,https://book.douban.com/subject/3183775/
78,历史深处的忧虑,窥见美国社会的一扇窗,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,9.0,46618人评价,https://book.douban.com/subject/1027191/
79,上帝掷骰子吗,量子物理史话,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,9.2,35613人评价,https://book.douban.com/subject/1467022/
80,一个叫欧维的男人决定去死,这个发生在瑞典的故事，如生命庆典般绚丽斑斓,[瑞典] 弗雷德里克·巴克曼 / 宁蒙 / 四川文艺出版社 / 2015-12 / 35.00元,9.1,72600人评价,https://book.douban.com/subject/26672693/
81,美丽新世界,无简介,【英】奥尔德斯·赫胥黎 / 陈超 / 上海译文出版社 / 2017-6 / 45.00元,9.2,61778人评价,https://book.douban.com/subject/27002046/
82,灿烂千阳,唯有希望与爱可以驱散阴霾,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.9,125368人评价,https://book.douban.com/subject/2143732/
83,始于极限,无简介,[日] 上野千鹤子 / 曹逸冰 / 新星出版社 / 2022-9-20 / 59,9.0,76684人评价,https://book.douban.com/subject/35966120/
84,唐诗三百首,熟读唐诗三百首，不会吟诗也会吟,蘅塘退士 / 中华书局 / 1984-07-01 / 0.65,9.4,28121人评价,https://book.douban.com/subject/1013267/
85,哭泣的骆驼,沙漠中寻常的生与死,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,9.0,58435人评价,https://book.douban.com/subject/1029111/
86,窗边的小豆豆,真正懂孩子的教育经,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.8,216119人评价,https://book.douban.com/subject/1007914/
87,美的历程,中国美学经典之作,李泽厚 / 生活·读书·新知三联书店 / 2009-7 / 43.00元,9.2,33530人评价,https://book.douban.com/subject/3410718/
88,最好的告别,关于衰老与死亡，你必须知道的常识,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编 / 浙江人民出版社 / 2015-7-31 / 54.90元,9.0,52772人评价,https://book.douban.com/subject/26576861/
89,人间词话,以新眼光评旧文学,王国维 / 上海古籍出版社 / 1998-12 / 9.80元,9.1,56319人评价,https://book.douban.com/subject/1203426/
90,毛泽东选集 第一卷,无简介,毛泽东 / 人民出版社 / 1991-6 / 40.00元,9.6,31426人评价,https://book.douban.com/subject/1139360/
91,绝叫,无简介,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,8.9,115775人评价,https://book.douban.com/subject/35031587/
92,呼兰河传,萧红的童年往事,萧红 / 百花文艺出版社 / 2005-01 / 19.00,9.0,86177人评价,https://book.douban.com/subject/1060852/
93,文学回忆录,木心留给世界的礼物,木心 口述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,9.1,45196人评价,https://book.douban.com/subject/20440644/
94,冬牧场,阿勒泰的精灵,李娟 / 新星出版社 / 2012-6 / 29.80元,9.0,42858人评价,https://book.douban.com/subject/10522856/
95,道德经,中国历史上首部完整的哲学著作,黄元吉 / 陕西人民出版社 / 1996-10 / 4.50元,9.5,21227人评价,https://book.douban.com/subject/1059258/
96,棋王·树王·孩子王,无简介,阿城 / 江苏凤凰文艺出版社 / 2016-3-1 / 58.00,9.3,30821人评价,https://book.douban.com/subject/26734559/
97,罪与罚,描绘人内心的全部深度,[俄] 陀思妥耶夫斯基 / 岳麟 / 上海译文出版社 / 2006-8 / 23.00元,9.3,37144人评价,https://book.douban.com/subject/1858568/
98,离开的，留下的,探索中年的虚无、困惑、野心和近乎残暴的爱,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-10 / 62.00元,8.9,79955人评价,https://book.douban.com/subject/27104959/
99,浪潮之巅,了解IT领域的入门读物,吴军 / 电子工业出版社 / 2011-8 / 55.00元,9.0,34188人评价,https://book.douban.com/subject/6709783/
100,看见,在这里看见中国,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8,341593人评价,https://book.douban.com/subject/20427187/
101,也许你该找个人聊聊,无简介,[美]洛莉·戈特利布 / 张含笑 / 上海文化出版社 / 2021-7-28 / 68.00元,9.0,53631人评价,https://book.douban.com/subject/35481512/
